"","simulated_barcode","simulated_value"
"1",8038794,4
"2",6164571,4
"3",6095547,7
"4",3215609,6
"5",2231686,6
"6",3737529,5
"7",5666523,3
"8",4671959,5
"9",4441278,5
"10",9619114,1
"11",6744760,6
"12",9555952,7
"13",7979383,5
"14",1417557,9
"15",2498755,5
"16",8877714,9
"17",2699807,6
"18",1746570,2
"19",3945165,3
"20",7916653,6
"21",4561389,0
"22",3384467,2
"23",3583043,6
"24",4376631,8
"25",9462864,6
"26",6872368,8
"27",7875205,4
"28",7204795,7
"29",9840293,4
"30",4651268,2
"31",6110384,3
"32",3255921,11
"33",8262427,4
"34",1131032,10
"35",5819015,8
"36",6865296,8
"37",1895748,4
"38",1016047,3
"39",8249668,3
"40",9310143,6
"41",3367267,5
"42",5650743,6
"43",9643860,7
"44",5851459,6
"45",2810607,4
"46",8538441,10
"47",2433116,6
"48",6460749,6
"49",4577734,4
"50",3888005,4
"51",3122764,3
"52",5981583,5
"53",8321291,5
"54",4480592,7
"55",3260328,4
"56",7317422,4
"57",6281019,5
"58",5534898,3
"59",4922360,5
"60",5183581,5
"61",5624858,7
"62",4567071,4
"63",7205354,8
"64",2296387,9
"65",6340498,4
"66",1630411,5
"67",4622772,6
"68",5824093,4
"69",2409787,6
"70",7256674,7
"71",2609275,3
"72",5088754,4
"73",7472439,9
"74",9748051,9
"75",9216742,9
"76",5128072,9
"77",7703910,6
"78",4609440,5
"79",6455559,3
"80",9484656,3
"81",2525504,5
"82",3947150,5
"83",6146760,8
"84",9832266,6
"85",4415590,7
"86",4617255,6
"87",4830743,10
"88",3655100,8
"89",8713353,3
"90",9407860,3
"91",4283882,6
"92",9832505,5
"93",5830098,4
"94",3151754,7
"95",3881474,8
"96",7492122,4
"97",1566710,7
"98",6338010,3
"99",1425380,13
"100",9408485,3
"101",2315909,3
"102",7138178,6
"103",2148924,6
"104",9922229,5
"105",4570023,2
"106",4819054,2
"107",3939610,6
"108",9079681,10
"109",3146169,5
"110",4043632,7
"111",7115760,3
"112",8844184,8
"113",2436387,6
"114",5222533,9
"115",6240983,5
"116",4016391,6
"117",2443513,10
"118",9124016,7
"119",2009604,4
"120",7859760,6
"121",5357677,10
"122",5048116,6
"123",4085292,9
"124",2481929,4
"125",1249967,7
"126",7046037,3
"127",9793960,6
"128",3501615,3
"129",9623431,6
"130",8452269,6
"131",4513555,8
"132",7243037,5
"133",1828834,5
"134",9232332,6
"135",9195245,2
"136",6546908,5
"137",8342036,5
"138",3310473,7
"139",3385967,5
"140",3798773,6
"141",1493509,5
"142",7797223,4
"143",6075906,10
"144",5449291,9
"145",2861892,7
"146",5299883,8
"147",4508908,3
"148",9483452,7
"149",8440282,3
"150",9918177,5
"151",4917372,2
"152",3909297,4
"153",3506306,4
"154",2056871,6
"155",2736034,6
"156",9809642,4
"157",6703596,4
"158",4761127,4
"159",4810304,7
"160",6328238,7
"161",6741299,6
"162",1077786,2
"163",4421335,6
"164",8161831,4
"165",3918866,10
"166",8178662,2
"167",6558092,5
"168",9974228,3
"169",4074619,4
"170",1739461,4
"171",5516125,4
"172",4223310,6
"173",4990225,4
"174",2085420,2
"175",9361600,4
"176",2952649,5
"177",1172186,4
"178",9757655,7
"179",2432928,8
"180",9569488,4
"181",1152957,10
"182",7597244,2
"183",7899949,4
"184",2748700,9
"185",4280320,6
"186",9893759,5
"187",4589201,4
"188",1967547,4
"189",5210657,5
"190",6950025,3
"191",4749179,2
"192",9802396,6
"193",9488730,6
"194",3417851,5
"195",2481050,4
"196",3973693,6
"197",1817258,1
"198",6452473,11
"199",7193605,6
"200",5468976,10
